channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
GregIsenberg,adjacent-startup,ovLAIhbk3ek,How to 10x your Claude with 4 .md files,732000,15000,48.8,102d,0.6,1.0,-,29.28,47,no,https://youtube.com/shorts/ovLAIhbk3ek
GregIsenberg,adjacent-startup,yJK5GueSHmU,Claude Code + Obsidian in under 1 minute,596000,15000,39.73,117d,0.6,1.2,time,28.61,46,no,https://youtube.com/shorts/yJK5GueSHmU
GregIsenberg,adjacent-startup,5G9PAIUs5Pk,Claude Code Clearly Explained,418000,15000,27.87,151d,0.6,1.0,-,16.72,50,no,https://youtube.com/shorts/5G9PAIUs5Pk
GregIsenberg,adjacent-startup,5taGT_Orhqk,The future of building startups is building micro-startups,299000,15000,19.93,517d,0.6,1.0,-,11.96,50,no,https://youtube.com/shorts/5taGT_Orhqk
matthew_berman,in-niche-builder,DOfwOVDKSSk,Claude got attacked,130000,22000,5.91,15d,1.0,1.0,-,5.91,62,no,https://youtube.com/shorts/DOfwOVDKSSk
matthew_berman,in-niche-builder,oQ_aqiSTLQc,GPT 5.6 is officially BANNED,110000,22000,5.0,15d,1.0,1.0,-,5.0,50,no,https://youtube.com/shorts/oQ_aqiSTLQc
GregIsenberg,adjacent-startup,zB5mUHSYjXA,How to make $$ with OpenClaw,82000,15000,5.47,121d,0.6,1.3,money,4.26,57,no,https://youtube.com/shorts/zB5mUHSYjXA
GregIsenberg,adjacent-startup,VE2Uxb9Fz7I,Claude Cowork Explained,102000,15000,6.8,149d,0.6,1.0,-,4.08,49,no,https://youtube.com/shorts/VE2Uxb9Fz7I
ramitsethi,adjacent-money,1ijF8wRmd7M,Should Couples Have a Joint Account?,36000,9000,4.0,16d,1.0,1.0,-,4.0,40,no,https://youtube.com/shorts/1ijF8wRmd7M
ramitsethi,adjacent-money,S5uU7bAepqk,Wait… Where Did the Money Go?,27000,9000,3.0,15d,1.0,1.3,money,3.9,40,no,https://youtube.com/shorts/S5uU7bAepqk
nateherk,in-niche,AUoYldwt_sA,"How I Build $10,000 Apple-Style Websites with Claude Code",148000,30000,4.93,129d,0.6,1.3,money,3.85,158,no,https://youtube.com/shorts/AUoYldwt_sA
matthew_berman,in-niche-builder,EtxdB7gpFqY,AI can run for days on its own now,70000,22000,3.18,17d,1.0,1.2,time,3.82,52,no,https://youtube.com/shorts/EtxdB7gpFqY
GregIsenberg,adjacent-startup,cf6WEZUVbEI,How to use Claude Code to launch 100+ Facebook ads,90000,15000,6.0,110d,0.6,1.0,-,3.6,50,no,https://youtube.com/shorts/cf6WEZUVbEI
GregIsenberg,adjacent-startup,ecm2ZUOQSTg,Hermes Agent Explained,86000,15000,5.73,49d,0.6,1.0,-,3.44,60,no,https://youtube.com/shorts/ecm2ZUOQSTg
NickSaraev,in-niche,aIflIQMacV4,Why Saturation Doesn't Matter,46000,8200,5.61,351d,0.6,1.0,-,3.37,13,no,https://youtube.com/shorts/aIflIQMacV4
nateherk,in-niche,0A3NGrPlp_w,Google's New Tool Just Solved A Major Claude Code Problem,161000,30000,5.37,123d,0.6,1.0,-,3.22,112,no,https://youtube.com/shorts/0A3NGrPlp_w
davidondrej,in-niche-builder,kUMZ5YNA13k,24 Agents tasked to build a $1B app,19000,4600,4.13,35d,0.6,1.3,money,3.22,23,no,https://youtube.com/shorts/kUMZ5YNA13k
NickSaraev,in-niche,On_DVAjnkRY,AI automation is just like any other business,42000,8200,5.12,440d,0.6,1.0,-,3.07,51,no,https://youtube.com/shorts/On_DVAjnkRY
