channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
GregIsenberg,adjacent-startup,ovLAIhbk3ek,How to 10x your Claude with 4 .md files,730000,15000,48.67,101d,0.6,1.0,-,29.2,47,no,https://youtube.com/shorts/ovLAIhbk3ek
GregIsenberg,adjacent-startup,yJK5GueSHmU,Claude Code + Obsidian in under 1 minute,595000,15000,39.67,116d,0.6,1.2,time,28.56,46,no,https://youtube.com/shorts/yJK5GueSHmU
GregIsenberg,adjacent-startup,5G9PAIUs5Pk,Claude Code Clearly Explained,418000,15000,27.87,150d,0.6,1.0,-,16.72,50,no,https://youtube.com/shorts/5G9PAIUs5Pk
GregIsenberg,adjacent-startup,5taGT_Orhqk,The future of building startups is building micro-startups,299000,15000,19.93,516d,0.6,1.0,-,11.96,50,no,https://youtube.com/shorts/5taGT_Orhqk
ramitsethi,adjacent-money,S5uU7bAepqk,Wait… Where Did the Money Go?,27000,8800,3.07,14d,1.25,1.3,money,4.99,40,YES,https://youtube.com/shorts/S5uU7bAepqk
GregIsenberg,adjacent-startup,zB5mUHSYjXA,How to make $$ with OpenClaw,82000,15000,5.47,120d,0.6,1.3,money,4.26,57,no,https://youtube.com/shorts/zB5mUHSYjXA
GregIsenberg,adjacent-startup,VE2Uxb9Fz7I,Claude Cowork Explained,102000,15000,6.8,148d,0.6,1.0,-,4.08,49,no,https://youtube.com/shorts/VE2Uxb9Fz7I
ramitsethi,adjacent-money,1ijF8wRmd7M,Should Couples Have a Joint Account?,35000,8800,3.98,15d,1.0,1.0,-,3.98,40,no,https://youtube.com/shorts/1ijF8wRmd7M
nateherk,in-niche,AUoYldwt_sA,"How I Build $10,000 Apple-Style Websites with Claude Code",147000,30000,4.9,128d,0.6,1.3,money,3.82,158,no,https://youtube.com/shorts/AUoYldwt_sA
GregIsenberg,adjacent-startup,cf6WEZUVbEI,How to use Claude Code to launch 100+ Facebook ads,90000,15000,6.0,109d,0.6,1.0,-,3.6,50,no,https://youtube.com/shorts/cf6WEZUVbEI
NickSaraev,in-niche,aIflIQMacV4,Why Saturation Doesn't Matter,46000,8100,5.68,350d,0.6,1.0,-,3.41,13,no,https://youtube.com/shorts/aIflIQMacV4
GregIsenberg,adjacent-startup,ecm2ZUOQSTg,Hermes Agent Explained,85000,15000,5.67,48d,0.6,1.0,-,3.4,60,no,https://youtube.com/shorts/ecm2ZUOQSTg
nateherk,in-niche,0A3NGrPlp_w,Google's New Tool Just Solved A Major Claude Code Problem,161000,30000,5.37,122d,0.6,1.0,-,3.22,112,no,https://youtube.com/shorts/0A3NGrPlp_w
NickSaraev,in-niche,On_DVAjnkRY,AI automation is just like any other business,42000,8100,5.19,439d,0.6,1.0,-,3.11,51,no,https://youtube.com/shorts/On_DVAjnkRY
