channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
GregIsenberg,adjacent-startup,ovLAIhbk3ek,How to 10x your Claude with 4 .md files,728000,18000,40.44,100d,0.6,1.0,-,24.26,,no,https://youtube.com/shorts/ovLAIhbk3ek
GregIsenberg,adjacent-startup,yJK5GueSHmU,Claude Code + Obsidian in under 1 minute,594000,18000,33.0,115d,0.6,1.2,time,23.76,,no,https://youtube.com/shorts/yJK5GueSHmU
GregIsenberg,adjacent-startup,5G9PAIUs5Pk,Claude Code Clearly Explained,417000,18000,23.17,149d,0.6,1.0,-,13.9,,no,https://youtube.com/shorts/5G9PAIUs5Pk
ramitsethi,adjacent-money,S5uU7bAepqk,Wait… Where Did the Money Go?,27000,6900,3.91,13d,1.25,1.3,money,6.35,,YES,https://youtube.com/shorts/S5uU7bAepqk
ramitsethi,adjacent-money,1ijF8wRmd7M,Should Couples Have a Joint Account?,35000,6900,5.07,14d,1.25,1.0,-,6.34,,YES,https://youtube.com/shorts/1ijF8wRmd7M
ramitsethi,adjacent-money,ozWwrfZLUkI,“Am I going to spend my entire retirement alone?”,18000,6900,2.61,6d,1.5,1.0,-,3.92,,YES,https://youtube.com/shorts/ozWwrfZLUkI
GregIsenberg,adjacent-startup,zB5mUHSYjXA,How to make $$ with OpenClaw,82000,18000,4.56,119d,0.6,1.3,money,3.56,,no,https://youtube.com/shorts/zB5mUHSYjXA
nateherk,in-niche,AUoYldwt_sA,"How I Build $10,000 Apple-Style Websites with Claude Code",147000,33000,4.45,127d,0.6,1.3,money,3.47,,no,https://youtube.com/shorts/AUoYldwt_sA
GregIsenberg,adjacent-startup,VE2Uxb9Fz7I,Claude Cowork Explained,102000,18000,5.67,147d,0.6,1.0,-,3.4,,no,https://youtube.com/shorts/VE2Uxb9Fz7I
NickSaraev,in-niche,aIflIQMacV4,Why Saturation Doesn't Matter,45000,8100,5.56,349d,0.6,1.0,-,3.34,,no,https://youtube.com/shorts/aIflIQMacV4
NickSaraev,in-niche,On_DVAjnkRY,AI automation is just like any other business,42000,8100,5.19,438d,0.6,1.0,-,3.11,,no,https://youtube.com/shorts/On_DVAjnkRY
GregIsenberg,adjacent-startup,cf6WEZUVbEI,How to use Claude Code to launch 100+ Facebook ads,90000,18000,5.0,108d,0.6,1.0,-,3.0,,no,https://youtube.com/shorts/cf6WEZUVbEI
nateherk,in-niche,0A3NGrPlp_w,Google's New Tool Just Solved A Major Claude Code Problem,160000,33000,4.85,121d,0.6,1.0,-,2.91,,no,https://youtube.com/shorts/0A3NGrPlp_w
GregIsenberg,adjacent-startup,ecm2ZUOQSTg,Hermes Agent Explained,85000,18000,4.72,47d,0.6,1.0,-,2.83,,no,https://youtube.com/shorts/ecm2ZUOQSTg
NickSaraev,in-niche,YfYv0_TEJ3g,My take on making money. What're your guys thoughts?,26000,8100,3.21,649d,0.6,1.3,money,2.5,,no,https://youtube.com/shorts/YfYv0_TEJ3g
GregIsenberg,adjacent-startup,2VSmDS3ALnw,How to use Obsidian with Claude in 61 seconds,61000,18000,3.39,41d,0.6,1.0,-,2.03,,no,https://youtube.com/shorts/2VSmDS3ALnw
nateherk,in-niche,F3nYY3N2wgw,How to Use Claude Code for 99% CHEAPER,103000,33000,3.12,96d,0.6,1.0,-,1.87,,no,https://youtube.com/shorts/F3nYY3N2wgw
GregIsenberg,adjacent-startup,cUG0TGwE9-4,Design Beautiful UI/UX with Weavy AI,52000,18000,2.89,128d,0.6,1.0,-,1.73,,no,https://youtube.com/shorts/cUG0TGwE9-4
GregIsenberg,adjacent-startup,QlIAW17I4ZE,How to get the most out of Claude Opus 4.5,51000,18000,2.83,212d,0.6,1.0,-,1.7,,no,https://youtube.com/shorts/QlIAW17I4ZE
aliabdaal,adjacent-time,9MoI57125pk,Start with the lifestyle you want - from Professor @Cal Newport,63000,23000,2.74,31d,0.6,1.0,-,1.64,,no,https://youtube.com/shorts/9MoI57125pk
NickSaraev,in-niche,keJniazAhQY,This piece of information changed my perspective on hiring and business as a whole.,22000,8100,2.72,640d,0.6,1.0,-,1.63,,no,https://youtube.com/shorts/keJniazAhQY
nateherk,in-niche,BXWpzOIVctI,Hitting Claude Code Limits? Here Are My Best Tips.,65000,30000,2.17,98d,0.6,1.0,-,1.3,,no,https://youtube.com/shorts/BXWpzOIVctI
nateherk,in-niche,AhcN5kLeX2k,I Turned Clawdbot Into the Ultimate Personal Assistant,65000,30000,2.17,160d,0.6,1.0,-,1.3,,no,https://youtube.com/shorts/AhcN5kLeX2k
nateherk,in-niche,4YJUHyfrTIw,Claude Code Builds n8n Workflows INSTANTLY... and Better Than Me,65000,30000,2.17,175d,0.6,1.0,time+tech_term,1.3,,no,https://youtube.com/shorts/4YJUHyfrTIw
NickSaraev,in-niche,6Q1KopZ4WTk,Why I like B2B tech as a target niche for automation agencies 💻,17000,8100,2.1,646d,0.6,1.0,-,1.26,,no,https://youtube.com/shorts/6Q1KopZ4WTk
nateherk,in-niche,HF7eymL2-MM,5 Claude Code Hacks to Build Beautiful Websites,66000,33000,2.0,140d,0.6,1.0,-,1.2,,no,https://youtube.com/shorts/HF7eymL2-MM
GregIsenberg,adjacent-startup,nuyxQgvzrAA,Gemini 3.0 is INSANE,36000,18000,2.0,232d,0.6,1.0,-,1.2,,no,https://youtube.com/shorts/nuyxQgvzrAA
GregIsenberg,adjacent-startup,kYqxVTtkyYQ,The best AI startup opportunities will be automating boring mundane tasks of knowledge workers,36000,18000,2.0,489d,0.6,1.0,-,1.2,,no,https://youtube.com/shorts/kYqxVTtkyYQ
